Customer_Id,Name,Nickname,Password,Email,Birth,gender,C.P.,MobileCompany,OS,Class
doloribus740,류현숙,Bryce_White,********,xhwang@yu.com,1990-01-21,female,01x9-4x671-x0x6x,LGU,iOS,3
expedita131,오지현,Zachary_LightSkyBlue,********,jeongung54@jusighoesa.com,1987-08-17,female,01x9-1x037-x6x5x,MVNO,iOS,3
provident683,최민석,Brenda_Violet,********,songyeweon@isoni.org,2004-10-29,male,01x9-5x526-x7x2x,KT,Android,3
sequi591,김민수,Kyle_Orange,********,anseonghyeon@ju.com,2000-10-17,male,01x9-1x567-x3x0x,SKT,iOS,2
totam890,최미경,Kevin_DarkTurquoise,********,ggim@gimi.kr,1989-02-02,female,01x9-3x802-x3x0x,SKT,iOS,4
tempore534,안지영,Julia_DarkSlateBlue,********,seoyeonan@jusighoesa.com,1998-12-05,male,01x9-2x225-x8x6x,LGU,iOS,4
eaque461,김수빈,Amber_Pink,********,seojun95@hangimi.net,1999-07-15,male,01x9-5x180-x5x1x,SKT,Android,2
explicabo998,김옥자,Michael_SeaShell,********,ai@jusighoesa.com,2006-01-30,male,01x9-5x470-x7x5x,SKT,Android,3
eveniet134,김영순,Lisa_Red,********,ou@yu.kr,1984-12-14,male,01x9-7x512-x5x4x,SKT,Android,4
expedita123,권우진,John_DodgerBlue,********,junseo80@yu.kr,1985-07-22,female,01x9-2x003-x6x3x,LGU,Android,4
ea027,진미경,Amber_Maroon,********,minjae18@coeson.kr,1981-06-28,female,01x9-1x384-x1x5x,SKT,Android,2
tenetur677,한명자,Lisa_RosyBrown,********,bagseongmin@ju.kr,2001-10-30,male,01x9-2x941-x9x9x,SKT,iOS,4
facilis655,박도현,Melanie_Salmon,********,iseongmin@yu.org,1985-02-24,female,01x9-5x970-x6x7x,SKT,Android,4
est706,전준영,Heather_Violet,********,jieungim@hongheo.net,1993-03-24,female,01x9-8x343-x2x9x,MVNO,Android,3
rem212,이경숙,Cynthia_DarkRed,********,hongjeongung@ju.kr,1982-12-10,female,01x9-8x918-x4x1x,KT,Android,3
est206,장예은,Tracy_Violet,********,iminseo@jusighoesa.com,1988-10-03,male,01x9-6x881-x0x2x,KT,Android,2
provident789,장현준,Christine_CadetBlue,********,ji@yu.com,1984-07-11,female,01x9-3x947-x8x7x,SKT,Android,1
asperiores559,류준혁,Sabrina_DarkSalmon,********,jeonghogim@gojojo.kr,2002-01-17,female,01x9-9x562-x4x0x,SKT,iOS,3
ipsa358,서성현,Albert_LightGreen,********,sineungyeong@yu.com,1988-10-26,female,01x9-7x029-x1x9x,KT,Android,2
facilis373,김보람,Heather_DarkGray,********,pi@jusighoesa.com,1981-05-15,male,01x9-2x593-x8x9x,LGU,iOS,3
provident788,이숙자,James_DarkGray,********,hyejin42@sonbagheo.com,1999-03-18,female,01x9-0x476-x6x7x,KT,iOS,2
repellat544,구지민,David_SlateGray,********,kgim@ryubae.com,1996-06-25,male,01x9-6x042-x2x1x,SKT,Android,3
voluptas591,김지연,Dawn_Magenta,********,seohyeon71@yu.com,1986-10-01,female,01x9-4x885-x9x7x,KT,Android,3
vel730,오서영,Julia_Ivory,********,gyeongsug23@baejeong.com,2001-06-26,female,01x9-6x980-x8x6x,LGU,Android,4
commodi700,박수진,Michael_SlateBlue,********,jaeho07@ii.com,1992-06-03,male,01x9-6x243-x7x2x,SKT,Android,4
totam465,문현숙,Chelsey_Teal,********,junhyeoggim@gimsong.com,1990-06-30,female,01x9-5x208-x1x7x,KT,iOS,2
quisquam424,신영호,Ryan_PeachPuff,********,jeonghogim@yuhanhoesa.kr,1997-01-08,male,01x9-9x464-x6x7x,SKT,Android,3
hic530,신정수,Michelle_BlanchedAlmond,********,yunseoi@hanbag.com,1991-05-24,female,01x9-0x516-x1x5x,SKT,iOS,2
exercitationem815,최예진,Stephanie_RoyalBlue,********,mijeongbag@yuhanhoesa.kr,1989-11-20,male,01x9-6x374-x2x9x,SKT,iOS,4
delectus034,김영식,Kevin_RosyBrown,********,seongjinyang@yuhanhoesa.net,1986-05-11,male,01x9-3x216-x5x8x,SKT,Android,3
consectetur323,이지민,Eric_NavajoWhite,********,jangareum@jusighoesa.kr,1996-01-21,male,01x9-8x804-x2x5x,SKT,Android,4
atque527,이예은,Richard_PapayaWhip,********,hyeonji43@jusighoesa.org,1990-06-29,female,01x9-1x113-x6x2x,SKT,iOS,2
voluptas252,남정호,Christian_Yellow,********,eunyeong72@yangii.com,1993-09-06,male,01x9-4x632-x0x6x,LGU,Android,3
sequi258,강서윤,Adrienne_NavajoWhite,********,hyeonjeong67@gimgim.org,1988-11-29,male,01x9-1x755-x0x8x,KT,iOS,1
inventore467,박정남,Andrew_MediumAquaMarine,********,sangceolgim@gimihong.com,2001-12-29,female,01x9-5x866-x2x6x,LGU,Android,3
aliquid774,김민지,Tammy_PowderBlue,********,kcoe@yu.com,1998-12-12,male,01x9-6x786-x0x4x,KT,iOS,3
necessitatibus726,최영호,Nancy_DarkSlateBlue,********,bagseonghyeon@coeimi.kr,1981-10-21,female,01x9-0x297-x5x6x,KT,iOS,2
quidem020,강지훈,Laurie_MediumOrchid,********,seongsu40@gango.com,2000-10-31,female,01x9-9x074-x5x2x,KT,Android,3
pariatur472,황순자,Tiffany_Fuchsia,********,vheo@gimbagi.org,1982-04-20,female,01x9-1x101-x3x5x,SKT,Android,4
sed983,김유진,Christopher_Gainsboro,********,sangho27@ryugimbag.kr,1999-12-29,male,01x9-6x189-x6x7x,KT,Android,3
nemo630,오승현,Raymond_MediumSpringGreen,********,bagseongjin@gimi.kr,1991-07-24,male,01x9-3x240-x9x2x,SKT,Android,2
sint517,최현준,Johnny_LightSkyBlue,********,sanghyeon27@yuhanhoesa.kr,2001-03-15,male,01x9-4x322-x6x8x,MVNO,Android,2
voluptatem169,윤영희,Jennifer_LawnGreen,********,jeongsunjeon@yuhanhoesa.kr,1997-04-08,male,01x9-1x388-x1x0x,KT,iOS,1
aliquam701,이서연,Megan_PaleGoldenRod,********,yeongmijang@yuhanhoesa.org,2002-07-17,male,01x9-5x879-x4x9x,LGU,Android,4
dolorum335,손옥순,Connor_MediumAquaMarine,********,baghayun@ganggimgim.org,2004-07-05,male,01x9-4x081-x0x2x,KT,iOS,3
iste236,김순자,Derek_Peru,********,ijeonghyi@gimgim.kr,2001-05-24,male,01x9-8x901-x6x3x,SKT,Android,3
qui543,이영미,Jason_MediumPurple,********,sunoghwang@yuhanhoesa.org,1994-07-25,female,01x9-6x482-x0x6x,KT,Android,4
facere621,서지우,Phillip_Wheat,********,agim@ibag.com,1987-01-13,female,01x9-3x980-x3x8x,LGU,Android,3
fugit590,강재호,Lisa_DarkRed,********,hyejin15@yuhanhoesa.com,2001-01-29,female,01x9-2x003-x8x1x,SKT,iOS,3
deleniti307,이시우,Teresa_DarkOrchid,********,mseo@yu.kr,1997-10-05,female,01x9-8x616-x3x5x,LGU,iOS,2
quae150,오영희,Jared_DodgerBlue,********,jihyeongim@jusighoesa.com,2002-01-09,male,01x9-6x361-x1x8x,SKT,iOS,4
totam318,안경수,Robyn_LightCoral,********,sunjacoe@gangbag.org,1983-03-24,male,01x9-3x182-x8x0x,KT,Android,2
omnis469,김숙자,Kaylee_Lavender,********,simjihyeon@gimjo.kr,1990-07-28,female,01x9-0x076-x2x6x,SKT,Android,3
aliquam593,김정식,Matthew_AntiqueWhite,********,coejongsu@jeonbaggim.net,1988-11-13,male,01x9-8x396-x3x7x,LGU,iOS,3
